resource	technology	zone	rps_eligible	can_build_new	capacity_limited	local_capacity	capacity_limited_local	can_retire
Cape_Mendocino_Offshore_Wind	Offshore_Wind	CAISO	1	1	1	0	0	0
Del_Norte_Offshore_Wind	Offshore_Wind	CAISO	1	1	1	0	0	0
Diablo_Canyon_Offshore_Wind	Offshore_Wind	CAISO	1	1	1	0	0	0
Humboldt_Bay_Offshore_Wind	Offshore_Wind	CAISO	1	1	1	0	0	0
Morro_Bay_Offshore_Wind	Offshore_Wind	CAISO	1	1	1	0	0	0
CAISO_Existing_Pumped_Storage	Pumped_Hydro	CAISO	0	0	0	0	0	0
CAISO_New_Pumped_Storage	Pumped_Hydro	CAISO	0	1	1	1	0	0
CAISO_New_Flow_Battery	Flow_Battery	CAISO	0	1	1	1	0	0
CAISO_New_Flow_Battery_2	Flow_Battery	CAISO	0	1	1	1	0	0
CAISO_New_Flow_Battery_3	Flow_Battery	CAISO	0	1	1	1	0	0
CAISO_New_Flow_Battery_4	Flow_Battery	CAISO	0	1	1	1	0	0
CAISO_New_Flow_Battery_5	Flow_Battery	CAISO	0	1	0	1	0	0
CAISO_New_Li_Battery	Li_Battery	CAISO	0	1	1	1	0	0
CAISO_BTM_Li_Battery	BTM_Li_Battery	CAISO	0	1	1	1	0	0
CAISO_New_Li_Battery_2	Li_Battery	CAISO	0	1	1	1	0	0
CAISO_New_Li_Battery_3	Li_Battery	CAISO	0	1	1	1	0	0
CAISO_New_Li_Battery_4	Li_Battery	CAISO	0	1	1	1	0	0
CAISO_New_Li_Battery_5	Li_Battery	CAISO	0	1	0	1	0	0
CAISO_New_Li_Battery_6	Li_Battery	CAISO	0	1	0	1	0	0
CAISO_Hydro	Hydro	CAISO	0	0	0	0	0	0
NW_Hydro	Hydro	NW	0	0	0	0	0	0
SW_Hydro	Hydro	SW	0	0	0	0	0	0
LDWP_Hydro	Hydro	LDWP	0	0	0	0	0	0
BANC_Hydro	Hydro	BANC	0	0	0	0	0	0
IID_Hydro	Hydro	IID	0	0	0	0	0	0
NW_Hydro_for_CAISO	Hydro_NW_CAISO	CAISO_NW_Hydro	0	0	0	0	0	0
Hydrogen_electrolysis	Hydrogen_Electrolysis	CAISO	0	0	0	0	0	0
EV_Charging	Electric_Vehicle	CAISO	0	0	0	0	0	0
CAISO_Shed_DR_Existing	CAISO_Conventional_DR	CAISO	0	0	0	0	0	0
CAISO_Shed_DR_Tranche1	CAISO_Conventional_DR	CAISO	0	1	1	1	0	0
CAISO_Shed_DR_Tranche2	CAISO_Conventional_DR	CAISO	0	1	1	1	0	0
CAISO_Shed_DR_Tranche3	CAISO_Conventional_DR	CAISO	0	1	1	1	0	0
CAISO_Shed_DR_Tranche4	CAISO_Conventional_DR	CAISO	0	1	1	1	0	0
CAISO_Shed_DR_Tranche5	CAISO_Conventional_DR	CAISO	0	1	1	1	0	0
CAISO_Shed_DR_Tranche6	CAISO_Conventional_DR	CAISO	0	1	1	1	0	0
CAISO_Shed_DR_Tranche7	CAISO_Conventional_DR	CAISO	0	1	1	1	0	0
CAISO_Shed_DR_Tranche8	CAISO_Conventional_DR	CAISO	0	1	1	1	0	0
