fuel	period	month	price
SW_Natural_Gas	2026	12	3.24905380705119
SW_Natural_Gas	2030	1	3.60453140474016
SW_Natural_Gas	2030	2	3.66189074037912
SW_Natural_Gas	2030	3	3.34914279587423
SW_Natural_Gas	2030	4	3.34404135784815
SW_Natural_Gas	2030	5	3.47765121778483
SW_Natural_Gas	2030	6	3.32181134942629
SW_Natural_Gas	2030	7	3.33467903083886
SW_Natural_Gas	2030	8	3.34158934654267
SW_Natural_Gas	2030	9	3.09934108298007
SW_Natural_Gas	2030	10	3.11016699917976
SW_Natural_Gas	2030	11	3.05460966159896
SW_Natural_Gas	2030	12	3.28477708289793
SW_Natural_Gas	2035	1	3.79744186393373
SW_Natural_Gas	2035	2	3.85787100658355
SW_Natural_Gas	2035	3	3.52838514449333
SW_Natural_Gas	2035	4	3.5230106832524
SW_Natural_Gas	2035	5	3.66377119234122
SW_Natural_Gas	2035	6	3.49959094982858
SW_Natural_Gas	2035	7	3.51314729505105
SW_Natural_Gas	2035	8	3.52042744306478
SW_Natural_Gas	2035	9	3.2652143254018
SW_Natural_Gas	2035	10	3.27661963243785
SW_Natural_Gas	2035	11	3.21808892875176
SW_Natural_Gas	2035	12	3.46057465108587
SW_Natural_Gas	2040	1	3.9903523231273
SW_Natural_Gas	2040	2	4.05385127278799
SW_Natural_Gas	2040	3	3.70762749311243
SW_Natural_Gas	2040	4	3.70198000865665
SW_Natural_Gas	2040	5	3.84989116689762
SW_Natural_Gas	2040	6	3.67737055023088
SW_Natural_Gas	2040	7	3.69161555926323
SW_Natural_Gas	2040	8	3.69926553958689
SW_Natural_Gas	2040	9	3.43108756782352
SW_Natural_Gas	2040	10	3.44307226569593
SW_Natural_Gas	2040	11	3.38156819590456
SW_Natural_Gas	2040	12	3.6363722192738
SW_Natural_Gas	2045	1	4.18326278232087
SW_Natural_Gas	2045	2	4.24983153899242
SW_Natural_Gas	2045	3	3.88686984173154
SW_Natural_Gas	2045	4	3.8809493340609
SW_Natural_Gas	2045	5	4.03601114145401
SW_Natural_Gas	2045	6	3.85515015063318
SW_Natural_Gas	2045	7	3.87008382347542
SW_Natural_Gas	2045	8	3.878103636109
SW_Natural_Gas	2045	9	3.59696081024525
SW_Natural_Gas	2045	10	3.60952489895401
SW_Natural_Gas	2045	11	3.54504746305736
SW_Natural_Gas	2045	12	3.81216978746174
CA_Coal	2020	1	3.4333852790527
CA_Coal	2020	2	3.4333852790527
CA_Coal	2020	3	3.4333852790527
CA_Coal	2020	4	3.4333852790527
CA_Coal	2020	5	3.4333852790527
CA_Coal	2020	6	3.4333852790527
CA_Coal	2020	7	3.4333852790527
CA_Coal	2020	8	3.4333852790527
CA_Coal	2020	9	3.4333852790527
