timepoint_id	upward_reg_mw	downward_reg_mw	upward_lf_reserves_mw	downward_lf_reserves_mw	min_gen_committed_mw	freq_resp_total_req_mw	freq_resp_partial_req_mw
20221916	276.767051887418	276.767051887418	2734.875516175	2499.86212472938	0	770	385
20221917	270.538603197978	270.538603197978	3425.04452122294	3082.47100175754	0	770	385
20221918	268.304515764253	268.304515764253	2939.79354410764	3339.50619256718	0	770	385
20221919	284.37799132806	284.37799132806	1171.34841222833	2021.95335555862	0	770	385
20221920	292.923184496695	292.923184496695	1233.72458260483	1990.46934306514	0	770	385
20221921	284.088930129414	284.088930129414	1249.24263425414	1250.87649591347	0	770	385
20221922	269.197746068776	269.197746068776	1210.42405724609	1212.12089212678	0	770	385
20221923	248.006064472211	248.006064472211	1127.91804186825	1129.77551999444	0	770	385
20221924	230.812711314285	230.812711314285	982.128160202711	984.410225822369	0	770	385
20222001	229.57955175126	229.57955175126	982.128160202711	984.410225822369	0	770	385
20222002	223.947250721096	223.947250721096	982.128160202711	984.410225822369	0	770	385
20222003	221.750493015342	221.750493015342	982.128160202711	984.410225822369	0	770	385
20222004	225.885784580568	225.885784580568	982.128160202711	984.410225822369	0	770	385
20222005	240.363638014486	240.363638014486	1021.83802660013	1888.30617167181	0	770	385
20222006	256.191967581278	256.191967581278	1667.4390456916	2419.02082669962	0	770	385
20222007	276.105126462378	276.105126462378	2884.11697547429	3226.90861519636	0	770	385
20222008	287.692440791918	287.692440791918	3477.8621755871	3242.67798814119	0	770	385
20222009	294.716273223237	294.716273223237	3039.72001044679	2697.75129898515	0	770	385
20222010	300.511385889618	300.511385889618	2633.70865478646	2440.17923146195	0	770	385
20222011	302.488160319939	302.488160319939	2802.70344041102	2178.3182999542	0	770	385
20222012	301.636053056042	301.636053056042	2988.0187857406	2112.61060500046	0	770	385
20222013	303.536408466916	303.536408466916	3056.15094018431	2107.93829860564	0	770	385
20222014	302.513541138805	302.513541138805	2984.73541247344	2175.72255805557	0	770	385
20222015	299.754583981343	299.754583981343	2720.71781627985	2395.55643791711	0	770	385
20222016	294.583307937308	294.583307937308	2862.69898532407	2629.43975475841	0	770	385
20222017	289.077626437377	289.077626437377	3474.35116735025	3100.31728233717	0	770	385
20222018	287.746533416345	287.746533416345	3392.41857674712	3572.94757175836	0	770	385
20222019	294.513675968196	294.513675968196	2234.22255424771	2807.55571138219	0	770	385
20222020	309.060345292493	309.060345292493	1444.27157911989	2134.57760213001	0	770	385
20222021	298.861480797978	298.861480797978	1563.00919659639	1564.35863443861	0	770	385
20222022	276.322790958293	276.322790958293	1474.40834730302	1475.81799903076	0	770	385
20222023	252.026587035106	252.026587035106	1258.25867034553	1259.87885615372	0	770	385
20222024	238.1105458553	238.1105458553	1095.20926398606	1097.14322420959	0	770	385
20222101	254.22782781661	254.22782781661	1155.75500033958	1157.55360405598	0	770	385
20222102	246.027117230752	246.027117230752	1031.72040967826	1033.83081963546	0	770	385
20222103	241.483911288931	241.483911288931	982.128160202711	984.410225822369	0	770	385
20222104	245.069584348412	245.069584348412	982.128160202711	984.410225822369	0	770	385
20222105	258.321365731051	258.321365731051	1032.9502898672	1904.5348559476	0	770	385
20222106	271.644703262043	271.644703262043	2206.99204216083	2770.85549113975	0	770	385
20222107	295.648292176286	295.648292176286	2984.05162189959	3245.68550800148	0	770	385
20222108	317.5515230752	317.5515230752	3442.00574423908	3176.92819538683	0	770	385
20222109	339.404485574996	339.404485574996	3115.70660414401	2751.59992255675	0	770	385
20222110	359.701071123736	359.701071123736	2795.07574729447	2565.86871505357	0	770	385
20222111	374.720715478861	374.720715478861	2840.17983991018	2483.72053730072	0	770	385
20222112	386.731795166736	386.731795166736	3014.15259318281	2380.01193657631	0	770	385
20222113	401.928690581988	401.928690581988	3065.64148393582	2367.1401578903	0	770	385
20222114	413.018569553574	413.018569553574	2963.57288242597	2472.57991437215	0	770	385
20222115	420.533250618891	420.533250618891	2889.69271671429	2639.76409504304	0	770	385
20222116	419.959744767149	419.959744767149	3181.01074956451	2934.08816671497	0	770	385
20222117	410.236798194288	410.236798194288	3718.25649153476	3405.95353803114	0	770	385
20222118	394.488788984087	394.488788984087	3510.28298251663	3729.81421080983	0	770	385
20222119	377.89714504176	377.89714504176	2135.33396615842	2774.60357996094	0	770	385
20222120	377.191900831622	377.191900831622	1623.98771907263	2276.89879867333	0	770	385
20222121	356.423449688158	356.423449688158	1638.15205520887	1639.45754980924	0	770	385
20222122	321.127268763191	321.127268763191	1568.93576065017	1570.27996955052	0	770	385
20222123	289.654315505367	289.654315505367	1344.79383683119	1346.31537920634	0	770	385
20222124	269.60791406917	269.60791406917	1172.53852521016	1174.30406635895	0	770	385
20222201	219.312552891871	219.312552891871	982.128160202711	984.410225822369	0	770	385
20222202	213.608103953983	213.608103953983	982.128160202711	984.410225822369	0	770	385
20222203	212.092936272028	212.092936272028	982.128160202711	984.410225822369	0	770	385
20222204	217.083280103394	217.083280103394	982.128160202711	984.410225822369	0	770	385
20222205	229.529871246853	229.529871246853	1057.23649069119	1935.44953790776	0	770	385
20222206	246.295469140826	246.295469140826	2379.80609965744	2877.76060086134	0	770	385
20222207	262.647029426561	262.647029426561	2972.23600507365	3210.66244207328	0	770	385
20222208	277.301153447927	277.301153447927	3344.24796835135	3141.83353869728	0	770	385
20222209	288.89198114203	288.89198114203	3108.93880018202	2683.00635631185	0	770	385
