timepoint_id	upward_reg_mw	downward_reg_mw	upward_lf_reserves_mw	downward_lf_reserves_mw	min_gen_committed_mw	freq_resp_total_req_mw	freq_resp_partial_req_mw
20351017	382.993761927518	382.993761927518	5577.91945941234	5138.34148034011	0	770	385
20351018	380.892138645151	380.892138645151	6487.65776107932	6281.49894516263	0	770	385
20351019	381.185222153886	381.185222153886	4320.7246061528	5374.86590091226	0	770	385
20351020	408.136726229177	408.136726229177	1982.8398901137	3427.83477062045	0	770	385
20351021	417.144861074297	417.144861074297	1888.90332103006	1891.4478370454	0	770	385
20351022	385.84779993906	385.84779993906	1902.04208351743	1904.59656766142	0	770	385
20351023	353.125270211735	353.125270211735	1852.35989345137	1855.05475902525	0	770	385
20351024	326.523243057841	326.523243057841	1447.24463897809	1450.64331785808	0	770	385
20351101	316.863175088215	316.863175088215	982.215503326644	986.931625679367	0	770	385
20351102	304.36310719118	304.36310719118	982.215503326644	986.931625679367	0	770	385
20351103	295.01130295788	295.01130295788	982.215503326644	986.931625679367	0	770	385
20351104	289.612738649941	289.612738649941	982.215503326644	986.931625679367	0	770	385
20351105	291.625091401046	291.625091401046	1120.73461703559	2998.252580367	0	770	385
20351106	284.309646885444	284.309646885444	3791.0568107015	4996.78325526509	0	770	385
20351107	289.583708478981	289.583708478981	6255.06589992245	6318.7646653938	0	770	385
20351108	300.896264887515	300.896264887515	5834.06047024956	5460.89877439698	0	770	385
20351109	310.800746536446	310.800746536446	5140.62354791036	4572.20979603264	0	770	385
20351110	318.059667100227	318.059667100227	4928.23939097632	4000.08629134548	0	770	385
20351111	322.533262611658	322.533262611658	4917.57269752724	3776.01884990855	0	770	385
20351112	324.889662544595	324.889662544595	4937.5740017693	3585.59252776872	0	770	385
20351113	327.509902568045	327.509902568045	4945.72761105414	3693.49027726665	0	770	385
20351114	329.786551708564	329.786551708564	4984.4211766576	3860.78346520427	0	770	385
20351115	328.606687464593	328.606687464593	5020.78801034193	4033.81659424663	0	770	385
20351116	322.383724064192	322.383724064192	5160.75743266923	4437.20118692046	0	770	385
20351117	320.929905051705	320.929905051705	5566.80236278282	5150.62595258921	0	770	385
