hydro_resource	day_id	hydro_energy_budget	min_hydro	max_hydro
SW_Hydro	5	0.249937736028813	0.117542656079636	0.632196725954378
SW_Hydro	6	0.299864600814377	0.14355912256002	0.681082952065977
SW_Hydro	7	0.267708263294308	0.126091253150848	0.650399662614399
SW_Hydro	8	0.267708263294308	0.126091253150848	0.650399662614399
SW_Hydro	9	0.211783574039182	0.100947332241306	0.58786782624877
SW_Hydro	10	0.306904070613504	0.14779552711705	0.687502221423841
SW_Hydro	11	0.356042197130444	0.180004487662435	0.727366121133325
SW_Hydro	12	0.356042197130444	0.180004487662435	0.727366121133325
SW_Hydro	13	0.238416955262117	0.112436487998019	0.620004756000015
SW_Hydro	14	0.362744911466133	0.18502525888134	0.732483620442035
SW_Hydro	15	0.259583130588658	0.1225082098885	0.643074737418657
SW_Hydro	16	0.204264334029039	9.81852455916639E-02	0.578929409286547
SW_Hydro	17	0.250595577768954	0.118259268269071	0.633822733142034
SW_Hydro	18	0.227213178505797	0.107553231051811	0.607231730493669
SW_Hydro	19	0.299864600814377	0.14355912256002	0.681082952065977
SW_Hydro	20	0.306904070613504	0.14779552711705	0.687502221423841
SW_Hydro	21	0.278130601921207	0.131584237212667	0.660878535830503
SW_Hydro	22	0.257824229202152	0.121429108241759	0.640785731820743
SW_Hydro	23	0.221746931663288	0.105202978682178	0.600640610155876
SW_Hydro	24	0.186470739930134	9.15345669484097E-02	0.554897839363199
SW_Hydro	25	0.166702275402071	8.44604551524522E-02	0.524378558285354
SW_Hydro	26	0.239293209404351	0.113087106030506	0.621620520287517
SW_Hydro	27	0.227213178505797	0.107553231051811	0.607231730493669
SW_Hydro	28	0.227213178505797	0.107553231051811	0.607231730493669
SW_Hydro	29	0.278691644083458	0.131955159218602	0.661556016226957
SW_Hydro	30	0.267708263294308	0.126091253150848	0.650399662614399
SW_Hydro	31	0.299864600814377	0.14355912256002	0.681082952065977
SW_Hydro	32	0.299864600814377	0.14355912256002	0.681082952065977
SW_Hydro	33	0.267708263294308	0.126091253150848	0.650399662614399
SW_Hydro	34	0.299864600814377	0.14355912256002	0.681082952065977
SW_Hydro	35	0.356042197130444	0.180004487662435	0.727366121133325
SW_Hydro	36	0.257530810164728	0.121410712319354	0.640746362460817
SW_Hydro	37	0.228883594714245	0.10851269120645	0.609835943987603
LDWP_Hydro	1	5.04477360558008E-02	2.44848987202938E-02	0.479046655602067
LDWP_Hydro	2	2.28700958163188E-02	2.28700958163187E-02	0.479046655602067
LDWP_Hydro	3	5.48207541454959E-02	2.44848987202938E-02	0.479046655602067
LDWP_Hydro	4	7.05438933928378E-02	2.44848987202938E-02	0.479046655602067
LDWP_Hydro	5	1.10014661274351E-02	1.10014661274351E-02	0.479046655602067
LDWP_Hydro	6	7.47666874117475E-02	2.44848987202938E-02	0.479046655602067
LDWP_Hydro	7	6.52669174987622E-02	2.44848987202938E-02	0.479046655602067
LDWP_Hydro	8	6.52669174987622E-02	2.44848987202938E-02	0.479046655602067
LDWP_Hydro	9	5.51008394548144E-02	2.44848987202938E-02	0.479046655602067
LDWP_Hydro	10	7.53566158358578E-02	2.44848987202938E-02	0.479046655602067
LDWP_Hydro	11	8.98696474826245E-02	2.44848987202938E-02	0.479046655602067
LDWP_Hydro	12	8.98696474826245E-02	2.44848987202938E-02	0.479046655602067
