resource	day_id	hr_of_day	cap_factor	downward_lf_req	upward_lf_req
SW_Ext_Tx_Wind	26	19	0.518778860510719	0	0
SW_Ext_Tx_Wind	26	20	0.319065057477943	0	0
SW_Ext_Tx_Wind	26	21	0.125193246567972	0	0
SW_Ext_Tx_Wind	26	22	0.125732326339703	0	0
SW_Ext_Tx_Wind	26	23	0.218241797679034	0	0
SW_Ext_Tx_Wind	27	0	0.975046632709527	0	0
SW_Ext_Tx_Wind	27	1	0.962252472077832	0	0
SW_Ext_Tx_Wind	27	2	0.947088160158546	0	0
SW_Ext_Tx_Wind	27	3	0.972256233624026	0	0
SW_Ext_Tx_Wind	27	4	0.991133476708138	0	0
SW_Ext_Tx_Wind	27	5	0.968925304291107	0	0
SW_Ext_Tx_Wind	27	6	0.916074229882347	0	0
SW_Ext_Tx_Wind	27	7	0.858901495294718	0	0
SW_Ext_Tx_Wind	27	8	0.835798734829064	0	0
SW_Ext_Tx_Wind	27	9	0.842615995033875	0	0
SW_Ext_Tx_Wind	27	10	0.807015200317062	0	0
SW_Ext_Tx_Wind	27	11	0.80139307619159	0	0
SW_Ext_Tx_Wind	27	12	0.857969265500004	0	0
SW_Ext_Tx_Wind	27	13	0.932442849334143	0	0
SW_Ext_Tx_Wind	27	14	0.947351044322527	0	0
SW_Ext_Tx_Wind	27	15	0.917294888471061	0	0
SW_Ext_Tx_Wind	27	16	0.88972144878317	0	0
SW_Ext_Tx_Wind	27	17	0.894905861321648	0	0
SW_Ext_Tx_Wind	27	18	0.889319213497103	0	0
SW_Ext_Tx_Wind	27	19	0.913194856419038	0	0
SW_Ext_Tx_Wind	27	20	0.918749956794161	0	0
SW_Ext_Tx_Wind	27	21	0.916093881129398	0	0
SW_Ext_Tx_Wind	27	22	0.92903489665199	0	0
SW_Ext_Tx_Wind	27	23	0.93092983827743	0	0
SW_Ext_Tx_Wind	28	0	0.908045865172495	0	0
SW_Ext_Tx_Wind	28	1	0.919636235431918	0	0
SW_Ext_Tx_Wind	28	2	0.902508269296464	0	0
SW_Ext_Tx_Wind	28	3	0.901781292989821	0	0
SW_Ext_Tx_Wind	28	4	0.903135702743822	0	0
SW_Ext_Tx_Wind	28	5	0.91557462874787	0	0
SW_Ext_Tx_Wind	28	6	0.922437223597844	0	0
SW_Ext_Tx_Wind	28	7	0.77391544114645	0	0
SW_Ext_Tx_Wind	28	8	0.582678218408231	0	0
SW_Ext_Tx_Wind	28	9	0.484090188404448	0	0
SW_Ext_Tx_Wind	28	10	0.469665988871224	0	0
SW_Ext_Tx_Wind	28	11	0.477281080564809	0	0
SW_Ext_Tx_Wind	28	12	0.465294539228022	0	0
SW_Ext_Tx_Wind	28	13	0.394889422716617	0	0
SW_Ext_Tx_Wind	28	14	0.399731702918201	0	0
SW_Ext_Tx_Wind	28	15	0.622657248733745	0	0
SW_Ext_Tx_Wind	28	16	0.821180731109673	0	0
SW_Ext_Tx_Wind	28	17	0.862053292563462	0	0
SW_Ext_Tx_Wind	28	18	0.854154132882842	0	0
SW_Ext_Tx_Wind	28	19	0.86446948791319	0	0
SW_Ext_Tx_Wind	28	20	0.909435975067399	0	0
SW_Ext_Tx_Wind	28	21	0.935282333964121	0	0
SW_Ext_Tx_Wind	28	22	0.924698470552678	0	0
SW_Ext_Tx_Wind	28	23	0.931050889035255	0	0
SW_Ext_Tx_Wind	29	0	0.663229302703344	0	0
SW_Ext_Tx_Wind	29	1	0.811223537662312	0	0
SW_Ext_Tx_Wind	29	2	0.81322616489487	0	0
SW_Ext_Tx_Wind	29	3	0.797749733234381	0	0
SW_Ext_Tx_Wind	29	4	0.850590287909636	0	0
SW_Ext_Tx_Wind	29	5	0.795492827459825	0	0
SW_Ext_Tx_Wind	29	6	0.789769918464274	0	0
SW_Ext_Tx_Wind	29	7	0.932698954699917	0	0
SW_Ext_Tx_Wind	29	8	0.989835133162814	0	0
SW_Ext_Tx_Wind	29	9	0.967324265758603	0	0
SW_Ext_Tx_Wind	29	10	0.979745040653696	0	0
SW_Ext_Tx_Wind	29	11	0.977498801434403	0	0
SW_Ext_Tx_Wind	29	12	0.941903798207062	0	0
SW_Ext_Tx_Wind	29	13	0.89105334595398	0	0
SW_Ext_Tx_Wind	29	14	0.769705992746095	0	0
SW_Ext_Tx_Wind	29	15	0.686228086505984	0	0
SW_Ext_Tx_Wind	29	16	0.590789455089898	0	0
SW_Ext_Tx_Wind	29	17	0.367904242624058	0	0
SW_Ext_Tx_Wind	29	18	0.19046053970674	0	0
SW_Ext_Tx_Wind	29	19	0.230504563658257	0	0
SW_Ext_Tx_Wind	29	20	0.688546042525919	0	0
SW_Ext_Tx_Wind	29	21	0.851314401753017	0	0
SW_Ext_Tx_Wind	29	22	0.807256438465324	0	0
SW_Ext_Tx_Wind	29	23	0.70031355824831	0	0
SW_Ext_Tx_Wind	30	0	0.950247327166667	0	0
SW_Ext_Tx_Wind	30	1	0.944220181521014	0	0
SW_Ext_Tx_Wind	30	2	0.933430932259794	0	0
SW_Ext_Tx_Wind	30	3	0.919127415201691	0	0
SW_Ext_Tx_Wind	30	4	0.932709773624237	0	0
SW_Ext_Tx_Wind	30	5	0.954562655001437	0	0
SW_Ext_Tx_Wind	30	6	0.966552371156335	0	0
SW_Ext_Tx_Wind	30	7	0.95917565695371	0	0
SW_Ext_Tx_Wind	30	8	0.959034673983681	0	0
SW_Ext_Tx_Wind	30	9	0.955282340655788	0	0
SW_Ext_Tx_Wind	30	10	0.960704259772468	0	0
SW_Ext_Tx_Wind	30	11	0.966069099958981	0	0
SW_Ext_Tx_Wind	30	12	0.980004703644062	0	0
SW_Ext_Tx_Wind	30	13	0.991133476708138	0	0
SW_Ext_Tx_Wind	30	14	0.991133476708138	0	0
SW_Ext_Tx_Wind	30	15	0.991133476708138	0	0
SW_Ext_Tx_Wind	30	16	0.991133476708138	0	0
SW_Ext_Tx_Wind	30	17	0.810399624254519	0	0
SW_Ext_Tx_Wind	30	18	0.719340062632246	0	0
SW_Ext_Tx_Wind	30	19	0.784145162165571	0	0
SW_Ext_Tx_Wind	30	20	0.764576331853824	0	0
SW_Ext_Tx_Wind	30	21	0.700247726559097	0	0
SW_Ext_Tx_Wind	30	22	0.532059331571527	0	0
SW_Ext_Tx_Wind	30	23	0.255174622693386	0	0
SW_Ext_Tx_Wind	31	0	0.293925131587051	0	0
SW_Ext_Tx_Wind	31	1	0.40860424012876	0	0
SW_Ext_Tx_Wind	31	2	0.297075585764783	0	0
SW_Ext_Tx_Wind	31	3	0.394393423190703	0	0
SW_Ext_Tx_Wind	31	4	0.523781901722394	0	0
SW_Ext_Tx_Wind	31	5	0.319780106319218	0	0
SW_Ext_Tx_Wind	31	6	0.24828603254855	0	0
SW_Ext_Tx_Wind	31	7	0.333653494868641	0	0
SW_Ext_Tx_Wind	31	8	0.405542869178664	0	0
SW_Ext_Tx_Wind	31	9	0.506564270681843	0	0
SW_Ext_Tx_Wind	31	10	0.625127915008908	0	0
SW_Ext_Tx_Wind	31	11	0.749303402902071	0	0
SW_Ext_Tx_Wind	31	12	0.819400171208894	0	0
SW_Ext_Tx_Wind	31	13	0.745321673414733	0	0
SW_Ext_Tx_Wind	31	14	0.667901603223874	0	0
SW_Ext_Tx_Wind	31	15	0.730952497628152	0	0
SW_Ext_Tx_Wind	31	16	0.629315156371239	0	0
SW_Ext_Tx_Wind	31	17	0.51844993770098	0	0
SW_Ext_Tx_Wind	31	18	0.511186464689133	0	0
SW_Ext_Tx_Wind	31	19	0.506280108406733	0	0
SW_Ext_Tx_Wind	31	20	0.46110024849656	0	0
SW_Ext_Tx_Wind	31	21	0.51735237488685	0	0
SW_Ext_Tx_Wind	31	22	0.58818407288861	0	0
SW_Ext_Tx_Wind	31	23	0.513718458787472	0	0
SW_Ext_Tx_Wind	32	0	0.80703795979671	0	0
SW_Ext_Tx_Wind	32	1	0.852538109169847	0	0
SW_Ext_Tx_Wind	32	2	0.802558633836904	0	0
