resource	vintage	annual_fixed_cost_by_vintage	fixed_o_and_m_dollars_per_kw_yr
Riverside_Palm_Springs_Geothermal	2022	491.652857523741	148.742393677977
Riverside_Palm_Springs_Geothermal	2026	556.064084607956	148.742393677977
Riverside_Palm_Springs_Geothermal	2030	575.429551574453	148.742393677977
Solano_Geothermal	2020	489.291215210753	148.742393677977
Solano_Geothermal	2022	491.65285752374	148.742393677977
Solano_Geothermal	2026	556.064084607956	148.742393677977
Solano_Geothermal	2030	575.429551574453	148.742393677977
Southern_Nevada_Geothermal	2020	474.661059001046	144.294890050557
Southern_Nevada_Geothermal	2022	476.952086524975	144.294890050557
Southern_Nevada_Geothermal	2026	539.437371992816	144.294890050557
Southern_Nevada_Geothermal	2030	558.22379768903	144.294890050557
Carrizo_Solar	2020	66.8340945638966	11.1902531836515
Carrizo_Solar	2022	61.6283723868865	10.3089695080159
Carrizo_Solar	2026	53.2356824991479	9.85808018559775
Carrizo_Solar	2030	51.5141050862785	9.40719086317955
Carrizo_Wind	2020	87.9768137474074	42.4431058969787
Carrizo_Wind	2022	102.434733590519	41.8530531304339
Carrizo_Wind	2026	122.832708676922	40.642427626661
Carrizo_Wind	2030	124.674080241485	39.4724954171326
Central_Valley_North_Los_Banos_Solar	2020	66.8340945638966	11.1902531836515
Central_Valley_North_Los_Banos_Solar	2022	61.6283723868865	10.3089695080159
Central_Valley_North_Los_Banos_Solar	2026	53.2356824991479	9.85808018559775
Central_Valley_North_Los_Banos_Solar	2030	51.5141050862785	9.40719086317956
Central_Valley_North_Los_Banos_Wind	2020	87.941482616426	42.4431058969787
Central_Valley_North_Los_Banos_Wind	2022	102.416978238165	41.8530531304339
Central_Valley_North_Los_Banos_Wind	2026	122.832708676922	40.642427626661
Central_Valley_North_Los_Banos_Wind	2030	124.674080241485	39.4724954171326
Distributed_Solar	2020	101.455504501598	15.9847530589178
Distributed_Solar	2022	92.1045777602684	14.6620890790586
Distributed_Solar	2026	73.1976600946851	12.837017851036
Distributed_Solar	2030	64.5131919478581	11.0119466230133
Distributed_Wind	2020	90.1187478200111	42.4431058969787
Distributed_Wind	2022	103.511143915443	41.8530531304339
Distributed_Wind	2026	122.832708676922	40.642427626661
Distributed_Wind	2030	124.674080241485	39.4724954171326
Greater_Imperial_Solar	2020	66.8340945638966	11.1902531836515
Greater_Imperial_Solar	2022	61.6283723868866	10.3089695080159
Greater_Imperial_Solar	2026	53.2356824991479	9.85808018559775
Greater_Imperial_Solar	2030	51.5141050862785	9.40719086317955
Greater_Imperial_Wind	2020	74.8854538794463	45.1102427057864
Greater_Imperial_Wind	2022	92.5472942788328	44.4709807730275
Greater_Imperial_Wind	2026	115.296607781064	43.1652175479072
Greater_Imperial_Wind	2030	115.735683853681	41.8870251727076
Greater_Kramer_Wind	2020	85.7016062448795	42.4431058969787
Greater_Kramer_Wind	2022	100.767789820842	41.8530531304339
Greater_Kramer_Wind	2026	121.643915811354	40.642427626661
Greater_Kramer_Wind	2030	123.271304660114	39.4724954171326
Humboldt_Wind	2020	78.3623192697411	42.4431058969787
Humboldt_Wind	2022	94.6907614630607	41.8530531304339
Humboldt_Wind	2026	116.220048362197	40.642427626661
Humboldt_Wind	2030	116.871141070108	39.4724954171326
Inyokern_North_Kramer_Solar	2020	66.8340945638966	11.1902531836515
Inyokern_North_Kramer_Solar	2022	61.6283723868865	10.3089695080159
Inyokern_North_Kramer_Solar	2026	53.2356824991479	9.85808018559775
Inyokern_North_Kramer_Solar	2030	51.5141050862785	9.40719086317956
Kern_Greater_Carrizo_Solar	2020	66.8340945638966	11.1902531836515
Kern_Greater_Carrizo_Solar	2022	61.6283723868865	10.3089695080159
Kern_Greater_Carrizo_Solar	2026	53.2356824991479	9.85808018559774
Kern_Greater_Carrizo_Solar	2030	51.5141050862785	9.40719086317955
Kern_Greater_Carrizo_Wind	2020	90.1866759876851	42.4431058969787
Kern_Greater_Carrizo_Wind	2022	103.545280624865	41.8530531304339
Kern_Greater_Carrizo_Wind	2026	122.832708676922	40.642427626661
Kern_Greater_Carrizo_Wind	2030	124.674080241485	39.4724954171326
Kramer_Inyokern_Ex_Solar	2020	66.8340945638966	11.1902531836515
Kramer_Inyokern_Ex_Solar	2022	61.6283723868865	10.3089695080159
Kramer_Inyokern_Ex_Solar	2026	53.2356824991479	9.85808018559775
Kramer_Inyokern_Ex_Solar	2030	51.5141050862785	9.40719086317955
Kramer_Inyokern_Ex_Wind	2020	89.7942537976086	42.4431058969787
Kramer_Inyokern_Ex_Wind	2022	103.348072268861	41.8530531304339
Kramer_Inyokern_Ex_Wind	2026	122.832708676922	40.642427626661
Kramer_Inyokern_Ex_Wind	2030	124.674080241485	39.4724954171326
North_Victor_Solar	2020	66.8340945638966	11.1902531836515
North_Victor_Solar	2022	61.6283723868866	10.3089695080159
North_Victor_Solar	2026	53.2356824991479	9.85808018559775
North_Victor_Solar	2030	51.5141050862785	9.40719086317955
Northern_California_Ex_Solar	2020	66.8340945638966	11.1902531836515
Northern_California_Ex_Solar	2022	61.6283723868865	10.3089695080159
Northern_California_Ex_Solar	2026	53.2356824991479	9.85808018559775
Northern_California_Ex_Solar	2030	51.5141050862785	9.40719086317956
Northern_California_Ex_Wind	2020	86.6842141497847	42.4431058969786
Northern_California_Ex_Wind	2022	101.508296167366	41.8530531304339
Northern_California_Ex_Wind	2026	122.204085787766	40.642427626661
Northern_California_Ex_Wind	2030	123.93230523228	39.4724954171326
NW_Ext_Tx_Wind	2020	127.008747550547	42.4949653106696
NW_Ext_Tx_Wind	2022	141.622493142681	41.9041915839153
NW_Ext_Tx_Wind	2026	162.18496347609	40.6920868686781
NW_Ext_Tx_Wind	2030	164.02858493372	39.5207251690791
Riverside_Palm_Springs_Solar	2020	66.8340945638966	11.1902531836515
Riverside_Palm_Springs_Solar	2022	61.6283723868865	10.3089695080159
Riverside_Palm_Springs_Solar	2026	53.2356824991479	9.85808018559775
Riverside_Palm_Springs_Solar	2030	51.5141050862785	9.40719086317955
Sacramento_River_Solar	2020	66.8340945638966	11.1902531836515
Sacramento_River_Solar	2022	61.6283723868865	10.3089695080159
Sacramento_River_Solar	2026	53.2356824991479	9.85808018559775
Sacramento_River_Solar	2030	51.5141050862785	9.40719086317955
SCADSNV_Solar	2020	66.8340945638966	11.1902531836515
SCADSNV_Solar	2022	61.6283723868865	10.3089695080159
SCADSNV_Solar	2026	53.2356824991479	9.85808018559774
SCADSNV_Solar	2030	51.5141050862785	9.40719086317955
SCADSNV_Wind	2020	82.6771772262774	42.4431058969787
SCADSNV_Wind	2022	97.8202120047123	41.8530531304339
SCADSNV_Wind	2026	118.402226266056	40.642427626661
SCADSNV_Wind	2030	119.446110996662	39.4724954171326
Solano_Solar	2020	66.8340945638966	11.1902531836515
Solano_Solar	2022	61.6283723868866	10.3089695080159
Solano_Solar	2026	53.2356824991479	9.85808018559775
Solano_Solar	2030	51.5141050862785	9.40719086317955
Solano_subzone_Solar	2020	66.8340945638966	11.1902531836515
Solano_subzone_Solar	2022	61.6283723868866	10.3089695080159
Solano_subzone_Solar	2026	53.2356824991479	9.85808018559775
Solano_subzone_Solar	2030	51.5141050862785	9.40719086317955
Solano_subzone_Wind	2020	85.3470132308774	42.4431058969787
Solano_subzone_Wind	2022	101.11315023056	41.8530531304339
Solano_subzone_Wind	2026	122.832708676922	40.642427626661
Solano_subzone_Wind	2030	124.674080241485	39.4724954171326
Solano_Wind	2020	86.6051803309127	42.4431058969787
Solano_Wind	2022	101.392151613354	41.8530531304339
Solano_Wind	2026	122.030550816038	40.642427626661
Solano_Wind	2030	123.727533965641	39.4724954171326
Southern_California_Desert_Ex_Solar	2020	66.8340945638966	11.1902531836515
Southern_California_Desert_Ex_Solar	2022	61.6283723868865	10.3089695080159
Southern_California_Desert_Ex_Solar	2026	53.2356824991479	9.85808018559775
Southern_California_Desert_Ex_Solar	2030	51.5141050862785	9.40719086317955
Southern_California_Desert_Ex_Wind	2020	91.8915510714165	42.4431058969787
Southern_California_Desert_Ex_Wind	2022	104.402050759065	41.8530531304339
Southern_California_Desert_Ex_Wind	2026	122.832708676922	40.642427626661
Southern_California_Desert_Ex_Wind	2030	124.674080241485	39.4724954171326
Southern_Nevada_Solar	2020	64.9364545793138	10.8725250537581
Southern_Nevada_Solar	2022	59.8785399938659	10.0162639231508
Southern_Nevada_Solar	2026	51.7241462035472	9.57817683307266
Southern_Nevada_Solar	2030	50.0514500414306	9.14008974299449
Southern_Nevada_Wind	2020	89.1026775785343	41.6138654735709
Southern_Nevada_Wind	2022	101.862988344115	41.0353409775337
Southern_Nevada_Wind	2026	120.432840778498	39.8483683046299
Southern_Nevada_Wind	2030	122.238236188545	38.701293872832
SW_Ext_Tx_Wind	2020	154.37154102066	41.1991866149848
SW_Ext_Tx_Wind	2022	172.159366867963	40.6264270695224
SW_Ext_Tx_Wind	2026	195.015411580891	39.4512824848668
SW_Ext_Tx_Wind	2030	195.647422113815	38.3156385585189
Tehachapi_Ex_Solar	2020	66.8340945638966	11.1902531836515
Tehachapi_Ex_Solar	2022	61.6283723868865	10.3089695080159
Tehachapi_Ex_Solar	2026	53.2356824991479	9.85808018559775
Tehachapi_Ex_Solar	2030	51.5141050862785	9.40719086317955
Tehachapi_Solar	2020	66.8340945638966	11.1902531836515
Tehachapi_Solar	2022	61.6283723868865	10.3089695080159
Tehachapi_Solar	2026	53.2356824991479	9.85808018559775
Tehachapi_Solar	2030	51.5141050862785	9.40719086317955
Tehachapi_Wind	2020	78.7352722214651	43.0364154341281
Tehachapi_Wind	2022	95.2929423164057	42.4354159971562
Tehachapi_Wind	2026	117.156495171451	41.2036269305576
Tehachapi_Wind	2030	117.965960603751	40.0096120460895
Westlands_Ex_Solar	2020	66.8340945638966	11.1902531836515
Westlands_Ex_Solar	2022	61.6283723868865	10.3089695080159
Westlands_Ex_Solar	2026	53.2356824991479	9.85808018559775
Westlands_Ex_Solar	2030	51.5141050862785	9.40719086317955
Westlands_Solar	2020	66.8340945638966	11.1902531836515
Westlands_Solar	2022	61.6283723868865	10.3089695080159
Westlands_Solar	2026	53.2356824991479	9.85808018559774
Westlands_Solar	2030	51.5141050862785	9.40719086317955
CAISO_New_Pumped_Storage	2020	117.22185630196	13.8874024025979
CAISO_New_Pumped_Storage	2022	104.258830723341	13.8112772523879
CAISO_New_Pumped_Storage	2026	93.372934243309	13.8656523596808
CAISO_New_Pumped_Storage	2030	95.0150624835536	14.0287776815594
CAISO_New_Flow_Battery	2020	133.224015916635	10.1863899945508
CAISO_New_Flow_Battery	2022	111.126121492972	9.1903417793578
CAISO_New_Flow_Battery	2026	86.0811565769346	7.75274641722362
CAISO_New_Flow_Battery	2030	79.3963381430107	7.16743973406899
CAISO_New_Flow_Battery_2	2020	133.224015916635	10.1863899945508
CAISO_New_Flow_Battery_2	2022	111.126121492972	9.1903417793578
CAISO_New_Flow_Battery_2	2026	86.0811565769346	7.75274641722362
CAISO_New_Flow_Battery_2	2030	79.3963381430107	7.16743973406899
CAISO_New_Flow_Battery_3	2020	133.224015916635	10.1863899945508
CAISO_New_Flow_Battery_3	2022	111.126121492972	9.1903417793578
CAISO_New_Flow_Battery_3	2026	86.0811565769346	7.75274641722362
CAISO_New_Flow_Battery_3	2030	79.3963381430107	7.16743973406899
CAISO_New_Flow_Battery_4	2020	133.224015916635	10.1863899945508
CAISO_New_Flow_Battery_4	2022	111.126121492972	9.1903417793578
CAISO_New_Flow_Battery_4	2026	86.0811565769346	7.75274641722362
CAISO_New_Flow_Battery_4	2030	79.3963381430107	7.16743973406899
CAISO_New_Flow_Battery_5	2020	133.224015916635	10.1863899945508
CAISO_New_Flow_Battery_5	2022	111.126121492972	9.1903417793578
CAISO_New_Flow_Battery_5	2026	86.0811565769346	7.75274641722362
CAISO_New_Flow_Battery_5	2030	79.3963381430107	7.16743973406899
CAISO_New_Li_Battery	2020	22.9752154095009	0.782660856621277
CAISO_New_Li_Battery	2022	18.1453740706144	0.659082826628444
CAISO_New_Li_Battery	2026	12.3166103226191	0.494312119971333
CAISO_New_Li_Battery	2030	10.380554519398	0.422224935808847
CAISO_BTM_Li_Battery	2020	42.9021727458453	8.07376462619844
CAISO_BTM_Li_Battery	2022	34.7563209354844	6.82768615710404
CAISO_BTM_Li_Battery	2026	24.8494821977256	5.17997909053293
CAISO_BTM_Li_Battery	2030	22.0277838462225	4.56208894056876
CAISO_New_Li_Battery_2	2020	22.9752154095009	0.782660856621277
CAISO_New_Li_Battery_2	2022	18.1453740706144	0.659082826628444
CAISO_New_Li_Battery_2	2026	12.3166103226191	0.494312119971333
CAISO_New_Li_Battery_2	2030	10.380554519398	0.422224935808847
CAISO_New_Li_Battery_3	2020	22.9752154095009	0.782660856621277
CAISO_New_Li_Battery_3	2022	18.1453740706144	0.659082826628444
CAISO_New_Li_Battery_3	2026	12.3166103226191	0.494312119971333
CAISO_New_Li_Battery_3	2030	10.380554519398	0.422224935808847
CAISO_New_Li_Battery_4	2020	22.9752154095009	0.782660856621277
CAISO_New_Li_Battery_4	2022	18.1453740706144	0.659082826628444
CAISO_New_Li_Battery_4	2026	12.3166103226191	0.494312119971333
CAISO_New_Li_Battery_4	2030	10.380554519398	0.422224935808847
CAISO_New_Li_Battery_5	2020	22.9752154095009	0.782660856621277
CAISO_New_Li_Battery_5	2022	18.1453740706144	0.659082826628444
CAISO_New_Li_Battery_5	2026	12.3166103226191	0.494312119971333
CAISO_New_Li_Battery_5	2030	10.380554519398	0.422224935808847
CAISO_New_Li_Battery_6	2020	22.9752154095009	0.782660856621277
CAISO_New_Li_Battery_6	2022	18.1453740706144	0.659082826628444
CAISO_New_Li_Battery_6	2026	12.3166103226191	0.494312119971333
CAISO_New_Li_Battery_6	2030	10.380554519398	0.422224935808847
CAISO_Shed_DR_Tranche1	2020	25	0
CAISO_Shed_DR_Tranche1	2022	25	0
CAISO_Shed_DR_Tranche1	2026	25	0
CAISO_Shed_DR_Tranche1	2030	25	0
CAISO_Shed_DR_Tranche2	2020	50	0
CAISO_Shed_DR_Tranche2	2022	50	0
CAISO_Shed_DR_Tranche2	2026	50	0
CAISO_Shed_DR_Tranche2	2030	50	0
CAISO_Shed_DR_Tranche3	2020	75	0
CAISO_Shed_DR_Tranche3	2022	75	0
CAISO_Shed_DR_Tranche3	2026	75	0
CAISO_Shed_DR_Tranche3	2030	75	0
CAISO_Shed_DR_Tranche4	2020	100	0
CAISO_Shed_DR_Tranche4	2022	100	0
CAISO_Shed_DR_Tranche4	2026	100	0
CAISO_Shed_DR_Tranche4	2030	100	0
CAISO_Shed_DR_Tranche5	2020	125	0
CAISO_Shed_DR_Tranche5	2022	125	0
CAISO_Shed_DR_Tranche5	2026	125	0
CAISO_Shed_DR_Tranche5	2030	125	0
CAISO_Shed_DR_Tranche6	2020	150	0
CAISO_Shed_DR_Tranche6	2022	150	0
CAISO_Shed_DR_Tranche6	2026	150	0
CAISO_Shed_DR_Tranche6	2030	150	0
CAISO_Shed_DR_Tranche7	2020	175	0
CAISO_Shed_DR_Tranche7	2022	175	0
CAISO_Shed_DR_Tranche7	2026	175	0
CAISO_Shed_DR_Tranche7	2030	175	0
CAISO_Shed_DR_Tranche8	2020	200	0
CAISO_Shed_DR_Tranche8	2022	200	0
CAISO_Shed_DR_Tranche8	2026	200	0
CAISO_Shed_DR_Tranche8	2030	200	0
