simultaneous_flow_group,period,timepoint_id,day,hour_of_day,day_weight,simultaneous_flow_group_dual_$
CA_to_NW,2020,20200409,4,8,14.341145931673,0
NW_to_CA,2020,20200409,4,8,14.341145931673,0
CAISO_Export_Limit,2020,20200409,4,8,14.341145931673,0
CAISO_Import_Limit,2020,20200409,4,8,14.341145931673,0
CA_to_NW,2020,20200410,4,9,14.341145931673,0
NW_to_CA,2020,20200410,4,9,14.341145931673,0
CAISO_Export_Limit,2020,20200410,4,9,14.341145931673,0
CAISO_Import_Limit,2020,20200410,4,9,14.341145931673,0
CA_to_NW,2020,20200411,4,10,14.341145931673,0
NW_to_CA,2020,20200411,4,10,14.341145931673,0
CAISO_Export_Limit,2020,20200411,4,10,14.341145931673,0
CAISO_Import_Limit,2020,20200411,4,10,14.341145931673,0
CA_to_NW,2020,20200412,4,11,14.341145931673,0
NW_to_CA,2020,20200412,4,11,14.341145931673,0
CAISO_Export_Limit,2020,20200412,4,11,14.341145931673,0
CAISO_Import_Limit,2020,20200412,4,11,14.341145931673,0
CA_to_NW,2020,20200413,4,12,14.341145931673,0
NW_to_CA,2020,20200413,4,12,14.341145931673,0
CAISO_Export_Limit,2020,20200413,4,12,14.341145931673,0
CAISO_Import_Limit,2020,20200413,4,12,14.341145931673,0
CA_to_NW,2020,20200414,4,13,14.341145931673,0
NW_to_CA,2020,20200414,4,13,14.341145931673,0
CAISO_Export_Limit,2020,20200414,4,13,14.341145931673,0
CAISO_Import_Limit,2020,20200414,4,13,14.341145931673,0
CA_to_NW,2020,20200415,4,14,14.341145931673,0
NW_to_CA,2020,20200415,4,14,14.341145931673,0
CAISO_Export_Limit,2020,20200415,4,14,14.341145931673,0
CAISO_Import_Limit,2020,20200415,4,14,14.341145931673,0
CA_to_NW,2020,20200416,4,15,14.341145931673,0
NW_to_CA,2020,20200416,4,15,14.341145931673,0
CAISO_Export_Limit,2020,20200416,4,15,14.341145931673,0
CAISO_Import_Limit,2020,20200416,4,15,14.341145931673,0
CA_to_NW,2020,20200417,4,16,14.341145931673,0
NW_to_CA,2020,20200417,4,16,14.341145931673,0
CAISO_Export_Limit,2020,20200417,4,16,14.341145931673,0
CAISO_Import_Limit,2020,20200417,4,16,14.341145931673,0
CA_to_NW,2020,20200418,4,17,14.341145931673,0
NW_to_CA,2020,20200418,4,17,14.341145931673,0
CAISO_Export_Limit,2020,20200418,4,17,14.341145931673,0
CAISO_Import_Limit,2020,20200418,4,17,14.341145931673,0
CA_to_NW,2020,20200419,4,18,14.341145931673,0
NW_to_CA,2020,20200419,4,18,14.341145931673,-45.14
CAISO_Export_Limit,2020,20200419,4,18,14.341145931673,0
CAISO_Import_Limit,2020,20200419,4,18,14.341145931673,0
CA_to_NW,2020,20200420,4,19,14.341145931673,0
NW_to_CA,2020,20200420,4,19,14.341145931673,-3.26
CAISO_Export_Limit,2020,20200420,4,19,14.341145931673,0
CAISO_Import_Limit,2020,20200420,4,19,14.341145931673,0
CA_to_NW,2020,20200421,4,20,14.341145931673,0
NW_to_CA,2020,20200421,4,20,14.341145931673,0
CAISO_Export_Limit,2020,20200421,4,20,14.341145931673,0
CAISO_Import_Limit,2020,20200421,4,20,14.341145931673,-1.71
CA_to_NW,2020,20200422,4,21,14.341145931673,0
NW_to_CA,2020,20200422,4,21,14.341145931673,0
CAISO_Export_Limit,2020,20200422,4,21,14.341145931673,0
CAISO_Import_Limit,2020,20200422,4,21,14.341145931673,0
CA_to_NW,2020,20200423,4,22,14.341145931673,0
NW_to_CA,2020,20200423,4,22,14.341145931673,0
CAISO_Export_Limit,2020,20200423,4,22,14.341145931673,0
CAISO_Import_Limit,2020,20200423,4,22,14.341145931673,0
CA_to_NW,2020,20200424,4,23,14.341145931673,0
NW_to_CA,2020,20200424,4,23,14.341145931673,0
CAISO_Export_Limit,2020,20200424,4,23,14.341145931673,0
CAISO_Import_Limit,2020,20200424,4,23,14.341145931673,0
CA_to_NW,2020,20200501,5,0,6.69944357053316,0
NW_to_CA,2020,20200501,5,0,6.69944357053316,0
CAISO_Export_Limit,2020,20200501,5,0,6.69944357053316,0
CAISO_Import_Limit,2020,20200501,5,0,6.69944357053316,0
CA_to_NW,2020,20200502,5,1,6.69944357053316,0
NW_to_CA,2020,20200502,5,1,6.69944357053316,0
CAISO_Export_Limit,2020,20200502,5,1,6.69944357053316,0
CAISO_Import_Limit,2020,20200502,5,1,6.69944357053316,0
CA_to_NW,2020,20200503,5,2,6.69944357053316,0
NW_to_CA,2020,20200503,5,2,6.69944357053316,0
CAISO_Export_Limit,2020,20200503,5,2,6.69944357053316,0
CAISO_Import_Limit,2020,20200503,5,2,6.69944357053316,0
CA_to_NW,2020,20200504,5,3,6.69944357053316,0
NW_to_CA,2020,20200504,5,3,6.69944357053316,0
CAISO_Export_Limit,2020,20200504,5,3,6.69944357053316,0
CAISO_Import_Limit,2020,20200504,5,3,6.69944357053316,0
CA_to_NW,2020,20200505,5,4,6.69944357053316,0
NW_to_CA,2020,20200505,5,4,6.69944357053316,0
CAISO_Export_Limit,2020,20200505,5,4,6.69944357053316,0
CAISO_Import_Limit,2020,20200505,5,4,6.69944357053316,0
CA_to_NW,2020,20200506,5,5,6.69944357053316,0
NW_to_CA,2020,20200506,5,5,6.69944357053316,0
CAISO_Export_Limit,2020,20200506,5,5,6.69944357053316,0
CAISO_Import_Limit,2020,20200506,5,5,6.69944357053316,0
CA_to_NW,2020,20200507,5,6,6.69944357053316,0
NW_to_CA,2020,20200507,5,6,6.69944357053316,0
CAISO_Export_Limit,2020,20200507,5,6,6.69944357053316,0
CAISO_Import_Limit,2020,20200507,5,6,6.69944357053316,0
CA_to_NW,2020,20200508,5,7,6.69944357053316,0
NW_to_CA,2020,20200508,5,7,6.69944357053316,0
CAISO_Export_Limit,2020,20200508,5,7,6.69944357053316,0
CAISO_Import_Limit,2020,20200508,5,7,6.69944357053316,0
CA_to_NW,2020,20200509,5,8,6.69944357053316,0
NW_to_CA,2020,20200509,5,8,6.69944357053316,0
CAISO_Export_Limit,2020,20200509,5,8,6.69944357053316,0
CAISO_Import_Limit,2020,20200509,5,8,6.69944357053316,0
CA_to_NW,2020,20200510,5,9,6.69944357053316,0
NW_to_CA,2020,20200510,5,9,6.69944357053316,0
CAISO_Export_Limit,2020,20200510,5,9,6.69944357053316,0
CAISO_Import_Limit,2020,20200510,5,9,6.69944357053316,0
CA_to_NW,2020,20200511,5,10,6.69944357053316,0
NW_to_CA,2020,20200511,5,10,6.69944357053316,0
CAISO_Export_Limit,2020,20200511,5,10,6.69944357053316,0
CAISO_Import_Limit,2020,20200511,5,10,6.69944357053316,0
CA_to_NW,2020,20200512,5,11,6.69944357053316,0
NW_to_CA,2020,20200512,5,11,6.69944357053316,0
CAISO_Export_Limit,2020,20200512,5,11,6.69944357053316,0
CAISO_Import_Limit,2020,20200512,5,11,6.69944357053316,0
CA_to_NW,2020,20200513,5,12,6.69944357053316,0
